accel_round,q1,q99,q1_smooth,q99_smooth
-4.1,-1.6843949999999999,4.139170355555555,-1.6444946951907027,4.138512783164228
-4.0,-1.632319,4.038185791044776,-1.6246769282881233,4.038036729189434
-3.9,-1.47962,3.938730734463277,-1.6045948275815258,3.9375408245687393
-3.8,-1.603556,3.8392050076335877,-1.5842483930709106,3.837025069302142
-3.7,-1.6160248888888888,3.7275458734177214,-1.5636376247562775,3.736489463389643
-3.6,-1.5410392,3.640243759656652,-1.5427625226376265,3.635934006831242
-3.5,-1.5480493333333332,3.532007251308901,-1.5216230867149578,3.5353586996269395
-3.4,-1.5097175,3.4364026618705035,-1.5002193169882712,3.434763541776735
-3.3,-1.4600227368421053,3.3434446819757366,-1.4785512134575591,3.3341485332806107
-3.2,-1.4590657391304347,3.226271846153846,-1.4599366213698972,3.2343808346220095
-3.1,-1.423239294117647,3.1248857491961415,-1.440617454847434,3.1330647037218995
-3.0,-1.4202724210526316,3.040365256198347,-1.407378494273253,3.031323787640651
-2.9,-1.39197,2.928672710280374,-1.381683057096003,2.933087803910428
-2.8,-1.3385753333333332,2.8359830058479534,-1.363064015999408,2.8304924753589744
-2.7,-1.34400148,2.7330696302521007,-1.3408239180348942,2.7282903092229507
-2.6,-1.33234,2.6230607525655643,-1.3224293944969923,2.6283635195141577
-2.5,-1.297238606060606,2.529230466585662,-1.3051636634055406,2.5261888148378304
-2.4,-1.2928121923076923,2.415572316546762,-1.285220084240285,2.4252807822620515
-2.3,-1.2681209714285715,2.329267583134447,-1.2684349907032835,2.3258872038285405
-2.2,-1.2371533333333333,2.239586737909799,-1.2510306475046016,2.223083628010026
-2.1,-1.2510465976095617,2.0980484369747896,-1.23604004654753,2.1236973208230645
-2.0,-1.2155707284768211,2.026191884386512,-1.2217679232304013,2.022609053996878
-1.9,-1.2058945261780105,1.9387852480950536,-1.2052082926100245,1.9216126133264386
-1.8,-1.1931305397727272,1.8051598571428573,-1.1899701388233315,1.8218146599566727
-1.7,-1.1692497881844381,1.7326334442524554,-1.176967438417486,1.7184242474285
-1.6,-1.1654202287234043,1.6369961235198516,-1.1629655328199129,1.6117113481941556
-1.5,-1.1447426136865342,1.5035768447653426,-1.15000009294375,1.5130445973543223
-1.4,-1.1314948717624764,1.435672707683519,-1.1378613698865456,1.4155233806824963
-1.3,-1.1191154639353722,1.3171103863865543,-1.1245447438142135,1.3298413440300072
-1.2,-1.1032239981024667,1.2278373325708687,-1.1102963916256994,1.2464775492611064
-1.1,-1.0798860432247,1.14465812278481,-1.0898928203898417,1.167788767529463
-1.0,-1.0699963285564487,1.0446659211125764,-1.0646422789932948,1.0976680456650194
-0.9,-1.037610680973567,1.002067016181229,-1.025817928243494,1.0245149560871554
-0.8,-1.004974340933006,1.0154319470139204,-0.9893901756004316,0.9630348008209306
-0.7,-0.9695339339752408,0.8970901173646305,-0.92681526613555,0.8882433090725759
-0.6,-0.8991652788879235,0.8911908101265803,-0.8575657703033271,0.8144723069891378
-0.5,-0.8064576640791372,0.7770222169890662,-0.7825316277669538,0.7427128901487997
-0.4,-0.7320410583606557,0.6897283043533557,-0.7112447830124808,0.677462114615158
-0.3,-0.649066139366161,0.6411563911977115,-0.6458292847905021,0.6215957838322996
-0.2,-0.550718302722063,0.538985895277238,-0.5716549330997471,0.5713895942901128
-0.1,-0.5559598493177261,0.5114541083789148,-0.5483886646255822,0.5364182412332643
0.0,-0.35003859675218396,0.3610503255912007,-0.5305997867971503,0.5171253039223276
0.1,-0.5114205087108883,0.503268346573893,-0.5434067385818406,0.5159137384678
0.2,-0.5326368522794593,0.5023641393572935,-0.5735968342081464,0.5265011238567538
0.3,-0.6123415089399034,0.5913826779081242,-0.5959138650655174,0.5570660976108762
0.4,-0.6502486847838551,0.617066205783097,-0.6597599846972335,0.5856024261220699
0.5,-0.7144501303386149,0.6430000443667149,-0.7300915072725063,0.624283464134906
0.6,-1.0663375476793249,0.741668360300574,-0.7807806747362034,0.6705216653527388
0.7,-0.7920845093795094,0.7135640130810563,-0.8661120051688334,0.7040706368609595
0.8,-0.9723393323905418,0.7103278401420949,-0.9281317013363822,0.7369621896782188
0.9,-0.8917149449056604,0.7620799035662701,-0.961079420843206,0.75084303989585
1.0,-0.9283395757762698,0.7489775897581775,-1.0485128894210969,0.758590940107757
1.1,-1.2951071816564539,0.7212462544529246,-1.0917899789615484,0.76363963476254
1.2,-1.0638329920150307,0.8250362895927615,-1.1634775437496407,0.7691700353802059
1.3,-1.1178791612903227,0.7772444507042252,-1.2619244442262931,0.7644841879967741
1.4,-1.5050718220858896,0.7216299149321256,-1.2950421929058564,0.7637752017394867
1.5,-1.1942463892857142,0.7884307166416791,-1.4216457738843862,0.7637277091292971
1.6,-1.5697291143911438,0.7528420678513723,-1.5347405877419118,0.7534562061314662
1.7,-1.8633631878031878,0.703117777777776,-1.6064463598056498,0.7496959709522671
1.8,-1.4633231475409836,0.7902412168674682,-1.7327860660475576,0.7417426195270592
1.9,-2.043003217821782,0.7238939393939393,-1.8243596421091155,0.7256249508844232
2.0,-1.9549674913294797,0.6957988085106372,-1.9252496329266582,0.7248587649876257
2.1,-1.6820809864864865,0.7570167440000019,-2.0725372538621887,0.7183682231700843
2.2,-2.584692125,0.6574042680412389,-2.1358826796668975,0.6985166490817439
2.3,-2.1696916923076923,0.6793836279069771,-2.2702275069952016,0.6894725674536873
2.4,-2.1111812,0.7429932999999983,-2.4166861953312067,0.6719611514934731
2.5,-2.908930424242424,0.6201376249999994,-2.4914899063986478,0.677281492047389
2.6,-2.364968,0.6679432857142836,-2.6657665999226805,0.6660169071881982
2.7,-2.762300888888889,0.7490339999999968,-2.801398549290271,0.6443883638896143
2.8,-3.255639789473684,0.4969906086956485,-2.929425400975904,0.6536921196403591
2.9,-2.60602271875,0.6019781176470603,-3.1000810043697946,0.6211712401746952
3.0,-3.6174726153846155,0.7403880000000005,-3.1598238534501575,0.5987220224405054
3.1,-3.4730976153846154,0.569775199999999,-3.3563528477160305,0.6501312032993702
3.2,-2.9804936,0.7484669999999983,-3.529470412860629,0.6108810891169695
3.3,-4.197711,0.4630109999999971,-3.632877186232133,0.5986567487421219
3.4,-3.673755,0.5259519999999984,-3.7980365596625774,0.5992958638018665
3.5,-3.6600919999999997,0.7684099999999984,-3.972621625672305,0.6021872673833768
3.6,-4.397718,0.3668665000000012,-4.156632384261335,0.607330959486656
3.7,-3.996584,0.8088459999999992,-4.350068835429667,0.6147269401117041
3.8,-5.0321385,0.9385080000000017,-4.552930979177302,0.6243752092585214
3.9,-4.6832838,-0.0667202499999992,-4.765218815504239,0.6362757669271075
4.0,-4.662584,0.8530830000000073,-4.986932344410478,0.6504286131174626
4.1,-5.4089615,0.7839614999999979,-5.21807156589602,0.6668337478295866
