lane_id,next_lane_id,lane_length,next_lane_length
:changji_j1_0_0,changjidong_we_2_0,0.29,38.86
:changji_j1_0_1,changjidong_we_2_1,0.29,38.86
:changji_j1_0_2,changjidong_we_2_2,0.29,38.86
:changji_j1_0_3,changjidong_we_2_3,0.29,38.86
:changji_j1_4_0,changjidong_ew_1_0,0.1,399.51
:changji_j1_4_1,changjidong_ew_1_1,0.1,399.51
:chungui_j1_0_0,chungui_ew_1_0,0.35,41.86
:chungui_j1_0_1,chungui_ew_1_1,0.35,41.86
:chungui_j1_2_0,chungui_we_2_0,0.19,189.36
:chungui_j1_2_1,chungui_we_2_1,0.19,189.36
:jiashi_j1_0_0,jiashi_sn_10_0,0.34,781.64
:jiashi_j1_0_1,jiashi_sn_10_1,0.34,781.64
:jiashi_j1_2_0,jiashi_ns_2_0,0.26,37.09
:jiashi_j1_2_1,jiashi_ns_2_1,0.26,37.09
:jiashi_j1_2_2,jiashi_ns_2_2,0.26,37.09
:jiashi_j2_0_0,jiashi_sn_8_0,0.35,26.75
:jiashi_j2_0_1,jiashi_sn_8_1,0.35,26.75
:jiashi_j2_2_0,jiashi_ns_4_0,0.17,44.78
:jiashi_j2_2_1,jiashi_ns_4_1,0.17,44.78
:jiashi_j3_0_0,jiashi_sn_7_0,0.33,44.78
:jiashi_j3_0_1,jiashi_sn_7_1,0.33,44.78
:jiashi_j3_2_0,jiashi_ns_5_0,0.25,48.48
:jiashi_j3_2_1,jiashi_ns_5_1,0.25,48.48
:jiashi_j4_0_0,jiashi_sn_6_0,0.3,48.48
:jiashi_j4_0_1,jiashi_sn_6_1,0.3,48.48
:jiashi_j4_2_0,jiashi_ns_6_0,0.3,51.32
:jiashi_j4_2_1,jiashi_ns_6_1,0.3,51.32
:jiashi_j5_0_0,jiashi_sn_5_0,0.28,51.32
:jiashi_j5_0_1,jiashi_sn_5_1,0.28,51.32
:jiashi_j5_2_0,jiashi_ns_7_0,0.31,43.21
:jiashi_j5_2_1,jiashi_ns_7_1,0.31,43.21
:jiashi_j6_0_0,jiashi_sn_4_0,0.32,43.21
:jiashi_j6_0_1,jiashi_sn_4_1,0.32,43.21
:jiashi_j6_2_0,jiashi_ns_8_0,0.27,33.66
:jiashi_j6_2_1,jiashi_ns_8_1,0.27,33.66
:jiashi_j7_0_0,jiashi_sn_2_0,0.34,31.72
:jiashi_j7_0_1,jiashi_sn_2_1,0.34,31.72
:jiashi_j7_2_0,jiashi_ns_10_0,0.24,463.2
:jiashi_j7_2_1,jiashi_ns_10_1,0.24,463.2
:jiashibei-changjidong_0_0,jiashi_sn_9_0,9.93,37.09
:jiashibei-changjidong_10_0,jiashi_sn_9_0,27.06,37.09
:jiashibei-changjidong_10_1,jiashi_sn_9_1,21.93,37.09
:jiashibei-changjidong_12_0,changjidong_ew_2_0,9.03,38.86
:jiashibei-changjidong_13_0,jiashi_ns_3_0,27.08,26.75
:jiashibei-changjidong_13_1,jiashi_ns_3_1,27.08,26.75
:jiashibei-changjidong_15_0,lvhuan_we_2_1,19.89,30.64
:jiashibei-changjidong_1_0,changjidong_ew_2_0,24.67,38.86
:jiashibei-changjidong_1_1,changjidong_ew_2_1,24.67,38.86
:jiashibei-changjidong_3_0,jiashi_ns_3_1,24.66,26.75
:jiashibei-changjidong_4_0,lvhuan_we_2_0,13.87,30.64
:jiashibei-changjidong_5_0,jiashi_sn_9_0,26.87,37.09
:jiashibei-changjidong_5_1,jiashi_sn_9_1,26.87,37.09
:jiashibei-changjidong_7_0,changjidong_ew_2_1,27.1,38.86
:jiashibei-changjidong_8_0,jiashi_ns_3_0,11.98,26.75
:jiashibei-changjidong_9_0,lvhuan_we_2_0,24.41,30.64
:jiashibei-chungui_0_0,jiashi_sn_3_0,9.18,33.66
:jiashibei-chungui_10_0,jiashi_sn_3_1,19.34,33.66
:jiashibei-chungui_11_0,xiaoqu_ew_2_0,11.78,24.43
:jiashibei-chungui_12_0,jiashi_ns_9_0,20.83,31.72
:jiashibei-chungui_12_1,jiashi_ns_9_1,20.83,31.72
:jiashibei-chungui_14_0,chungui_we_1_1,19.41,41.86
:jiashibei-chungui_15_0,xiaoqu_ew_2_0,14.46,24.43
:jiashibei-chungui_1_0,xiaoqu_ew_2_0,21.31,24.43
:jiashibei-chungui_2_0,jiashi_ns_9_1,19.48,31.72
:jiashibei-chungui_3_0,chungui_we_1_0,9.03,41.86
:jiashibei-chungui_4_0,jiashi_sn_3_0,20.81,33.66
:jiashibei-chungui_4_1,jiashi_sn_3_1,20.81,33.66
:jiashibei-chungui_6_0,:jiashibei-chungui_15_0,4.98,14.46
:jiashibei-chungui_6_0,xiaoqu_ew_2_0,4.98,24.43
:jiashibei-chungui_7_0,jiashi_ns_9_0,11.76,31.72
:jiashibei-chungui_8_0,chungui_we_1_0,21.01,41.86
:jiashibei-chungui_8_1,chungui_we_1_1,21.01,41.86
:lvhuan_j1_0_0,lvhuan_ew_2_0,0.28,30.64
:lvhuan_j1_0_1,lvhuan_ew_2_1,0.28,30.64
:lvhuan_j1_2_0,lvhuan_we_1_0,0.31,196.89
:lvhuan_j1_2_1,lvhuan_we_1_1,0.31,196.89
:xiaoqu_j1_0_0,xiaoqu_we_2_0,0.31,24.43
:xiaoqu_j1_1_0,xiaoqu_ew_1_0,0.22,422.23
changjidong_ew_1_0,,399.51,
changjidong_ew_1_1,,399.51,
changjidong_ew_2_0,:changji_j1_4_0,38.86,0.1
changjidong_ew_2_1,:changji_j1_4_1,38.86,0.1
changjidong_we_1_0,:changji_j1_0_0,399.51,0.29
changjidong_we_1_1,:changji_j1_0_1,399.51,0.29
changjidong_we_1_2,:changji_j1_0_2,399.51,0.29
changjidong_we_1_3,:changji_j1_0_3,399.51,0.29
changjidong_we_2_0,:jiashibei-changjidong_8_0,38.86,11.98
changjidong_we_2_1,:jiashibei-changjidong_9_0,38.86,24.41
changjidong_we_2_2,:jiashibei-changjidong_10_0,38.86,27.06
changjidong_we_2_3,:jiashibei-changjidong_10_1,38.86,21.93
chungui_ew_1_0,:jiashibei-chungui_0_0,41.86,9.18
chungui_ew_1_0,:jiashibei-chungui_1_0,41.86,21.31
chungui_ew_1_1,:jiashibei-chungui_2_0,41.86,19.48
chungui_ew_2_0,:chungui_j1_0_0,189.36,0.35
chungui_ew_2_1,:chungui_j1_0_1,189.36,0.35
chungui_we_1_0,:chungui_j1_2_0,41.86,0.19
chungui_we_1_1,:chungui_j1_2_1,41.86,0.19
chungui_we_2_0,,189.36,
chungui_we_2_1,,189.36,
jiashi_ns_10_0,,463.2,
jiashi_ns_10_1,,463.2,
jiashi_ns_1_0,:jiashi_j1_2_0,781.64,0.26
jiashi_ns_1_1,:jiashi_j1_2_1,781.64,0.26
jiashi_ns_1_2,:jiashi_j1_2_2,781.64,0.26
jiashi_ns_2_0,:jiashibei-changjidong_12_0,37.09,9.03
jiashi_ns_2_1,:jiashibei-changjidong_13_0,37.09,27.08
jiashi_ns_2_2,:jiashibei-changjidong_13_1,37.09,27.08
jiashi_ns_2_2,:jiashibei-changjidong_15_0,37.09,19.89
jiashi_ns_3_0,:jiashi_j2_2_0,26.75,0.17
jiashi_ns_3_1,:jiashi_j2_2_1,26.75,0.17
jiashi_ns_4_0,:jiashi_j3_2_0,44.78,0.25
jiashi_ns_4_1,:jiashi_j3_2_1,44.78,0.25
jiashi_ns_5_0,:jiashi_j4_2_0,48.48,0.3
jiashi_ns_5_1,:jiashi_j4_2_1,48.48,0.3
jiashi_ns_6_0,:jiashi_j5_2_0,51.32,0.31
jiashi_ns_6_1,:jiashi_j5_2_1,51.32,0.31
jiashi_ns_7_0,:jiashi_j6_2_0,43.21,0.27
jiashi_ns_7_1,:jiashi_j6_2_1,43.21,0.27
jiashi_ns_8_0,:jiashibei-chungui_11_0,33.66,11.78
jiashi_ns_8_0,:jiashibei-chungui_12_0,33.66,20.83
jiashi_ns_8_1,:jiashibei-chungui_12_1,33.66,20.83
jiashi_ns_8_1,:jiashibei-chungui_14_0,33.66,19.41
jiashi_ns_9_0,:jiashi_j7_2_0,31.72,0.24
jiashi_ns_9_1,:jiashi_j7_2_1,31.72,0.24
jiashi_sn_10_0,,781.64,
jiashi_sn_10_1,,781.64,
jiashi_sn_1_0,:jiashi_j7_0_0,463.2,0.34
jiashi_sn_1_1,:jiashi_j7_0_1,463.2,0.34
jiashi_sn_2_0,:jiashibei-chungui_3_0,31.72,9.03
jiashi_sn_2_0,:jiashibei-chungui_4_0,31.72,20.81
jiashi_sn_2_1,:jiashibei-chungui_4_1,31.72,20.81
jiashi_sn_2_1,:jiashibei-chungui_6_0,31.72,4.98
jiashi_sn_3_0,:jiashi_j6_0_0,33.66,0.32
jiashi_sn_3_1,:jiashi_j6_0_1,33.66,0.32
jiashi_sn_4_0,:jiashi_j5_0_0,43.21,0.28
jiashi_sn_4_1,:jiashi_j5_0_1,43.21,0.28
jiashi_sn_5_0,:jiashi_j4_0_0,51.32,0.3
jiashi_sn_5_1,:jiashi_j4_0_1,51.32,0.3
jiashi_sn_6_0,:jiashi_j3_0_0,48.48,0.33
jiashi_sn_6_1,:jiashi_j3_0_1,48.48,0.33
jiashi_sn_7_0,:jiashi_j2_0_0,44.78,0.35
jiashi_sn_7_1,:jiashi_j2_0_1,44.78,0.35
jiashi_sn_8_0,:jiashibei-changjidong_4_0,26.75,13.87
jiashi_sn_8_0,:jiashibei-changjidong_5_0,26.75,26.87
jiashi_sn_8_1,:jiashibei-changjidong_5_1,26.75,26.87
jiashi_sn_8_1,:jiashibei-changjidong_7_0,26.75,27.1
jiashi_sn_9_0,:jiashi_j1_0_0,37.09,0.34
jiashi_sn_9_1,:jiashi_j1_0_1,37.09,0.34
lvhuan_ew_1_0,:lvhuan_j1_0_0,196.89,0.28
lvhuan_ew_1_1,:lvhuan_j1_0_1,196.89,0.28
lvhuan_ew_2_0,:jiashibei-changjidong_0_0,30.64,9.93
lvhuan_ew_2_0,:jiashibei-changjidong_1_0,30.64,24.67
lvhuan_ew_2_1,:jiashibei-changjidong_1_1,30.64,24.67
lvhuan_ew_2_1,:jiashibei-changjidong_3_0,30.64,24.66
lvhuan_we_1_0,,196.89,
lvhuan_we_1_1,,196.89,
lvhuan_we_2_0,:lvhuan_j1_2_0,30.64,0.31
lvhuan_we_2_1,:lvhuan_j1_2_1,30.64,0.31
xiaoqu_ew_1_0,,422.23,
xiaoqu_ew_2_0,:xiaoqu_j1_1_0,24.43,0.22
xiaoqu_we_1_0,:xiaoqu_j1_0_0,422.23,0.31
xiaoqu_we_2_0,:jiashibei-chungui_10_0,24.43,19.34
xiaoqu_we_2_0,:jiashibei-chungui_7_0,24.43,11.76
xiaoqu_we_2_0,:jiashibei-chungui_8_0,24.43,21.01
xiaoqu_we_2_0,:jiashibei-chungui_8_1,24.43,21.01
