path_id,path_len,n_edge_lanes,start_edge_lane,end_edge_lane,is_strict_start_edge,is_strict_end_edge
0,1284.79,7,changjidong_we_1,jiashi_sn_10,True,True
1,1611.79,19,jiashi_sn_1,jiashi_sn_10,True,True
2,1007.56,19,jiashi_sn_1,lvhuan_we_1,True,True
3,735.7,7,jiashi_sn_1,chungui_we_2,True,True
4,690.91,7,changjidong_we_1,lvhuan_we_1,True,True
5,1279.6599999999999,7,changjidong_we_1,jiashi_sn_10,True,True
6,746.21,7,chungui_ew_2,jiashi_ns_10,True,True
7,699.76,7,chungui_ew_2,xiaoqu_ew_1,True,True
8,1336.47,19,chungui_ew_2,jiashi_sn_10,True,True
9,732.24,19,chungui_ew_2,lvhuan_we_1,True,True
10,1066.72,7,jiashi_ns_1,lvhuan_we_1,True,True
11,1346.39,19,jiashi_ns_1,chungui_we_2,True,True
12,1611.56,19,jiashi_ns_1,jiashi_ns_10,True,True
13,1611.56,19,jiashi_ns_1,jiashi_ns_10,True,True
14,1554.23,19,jiashi_ns_1,xiaoqu_ew_1,True,True
15,947.12,7,jiashi_sn_1,xiaoqu_ew_1,True,True
16,961.5799999999999,8,jiashi_sn_1,xiaoqu_ew_1,True,True
17,1231.42,19,jiashi_sn_1,changjidong_ew_1,True,True
18,1611.79,19,jiashi_sn_1,jiashi_sn_10,True,True
19,690.95,7,lvhuan_ew_1,changjidong_ew_1,True,True
20,1056.81,7,lvhuan_ew_1,jiashi_sn_10,True,True
21,1266.49,7,jiashi_ns_1,changjidong_ew_1,True,True
22,752.79,19,lvhuan_ew_1,chungui_we_2,True,True
23,1017.96,19,lvhuan_ew_1,jiashi_ns_10,True,True
24,690.95,7,lvhuan_ew_1,changjidong_ew_1,True,True
25,1216.13,19,changjidong_we_1,jiashi_ns_10,True,True
26,1158.8,19,changjidong_we_1,xiaoqu_ew_1,True,True
27,699.3900000000001,7,xiaoqu_we_1,chungui_we_2,True,True
28,699.3900000000001,7,xiaoqu_we_1,chungui_we_2,True,True
29,953.89,7,xiaoqu_we_1,jiashi_ns_10,True,True
30,1181.66,19,xiaoqu_we_1,changjidong_ew_1,True,True
31,1562.03,19,xiaoqu_we_1,jiashi_sn_10,True,True
