axis,axis_bin,data_type,NOx_g,PM2.5_g,bin_start_m,bin_center_m,bin_end_m
x,0,ground_truth,6.031937735562532,0.2510649501739929,29.0,39.0,49.0
x,0,sg,3.949670492881805,0.15034793013278686,29.0,39.0,49.0
x,0,sumo,4.250036783651573,0.16922614320750062,29.0,39.0,49.0
x,0,trim,3.541015283185869,0.13997739409501903,29.0,39.0,49.0
x,1,ground_truth,7.112744255843007,0.21931729618132154,49.0,59.0,69.0
x,1,sg,4.6156651747163435,0.21420896964854225,49.0,59.0,69.0
x,1,sumo,6.144186512608356,0.2403294212146881,49.0,59.0,69.0
x,1,trim,5.095747069610228,0.22178339319553156,49.0,59.0,69.0
x,2,ground_truth,6.650466379254465,0.21214964037693204,69.0,79.0,89.0
x,2,sg,9.157909031872236,0.4464897047356973,69.0,79.0,89.0
x,2,sumo,11.243162790818348,0.4051238704245031,69.0,79.0,89.0
x,2,trim,9.736110110046194,0.46564116000658345,69.0,79.0,89.0
x,3,ground_truth,6.363051664375687,0.2542100491744371,89.0,99.0,109.0
x,3,sg,5.85470573457143,0.26237774173012124,89.0,99.0,109.0
x,3,sumo,7.436878529626449,0.2772669608321758,89.0,99.0,109.0
x,3,trim,6.560832414689533,0.28148727392512746,89.0,99.0,109.0
x,4,ground_truth,5.570809447913483,0.24816988685997324,109.0,119.0,129.0
x,4,sg,4.724336458391175,0.187757796814284,109.0,119.0,129.0
x,4,sumo,5.190493504607352,0.19255043557534562,109.0,119.0,129.0
x,4,trim,4.850853437349581,0.1913563939413786,109.0,119.0,129.0
x,5,ground_truth,5.208764122561938,0.2141530010080387,129.0,139.0,149.0
x,5,sg,3.518778084078405,0.12613435641572493,129.0,139.0,149.0
x,5,sumo,4.383399279371854,0.18042301111456088,129.0,139.0,149.0
x,5,trim,3.4448899323756423,0.1252694373579023,129.0,139.0,149.0
x,6,ground_truth,3.9767399798741403,0.1597440064497043,149.0,159.0,169.0
x,6,sg,2.925029015772394,0.09558128978766398,149.0,159.0,169.0
x,6,sumo,4.054196469393836,0.16990860791096143,149.0,159.0,169.0
x,6,trim,2.748377206095036,0.09429497795841102,149.0,159.0,169.0
x,7,ground_truth,2.902555515926924,0.1224357781172015,169.0,179.0,189.0
x,7,sg,2.1661497736068553,0.0790381965018889,169.0,179.0,189.0
x,7,sumo,2.8337491299039934,0.13538309241630941,169.0,179.0,189.0
x,7,trim,2.3091422759713796,0.07973584319367175,169.0,179.0,189.0
x,8,ground_truth,2.7011211469171554,0.11587669149353588,189.0,199.0,209.0
x,8,sg,1.8555821904033682,0.07117104109842255,189.0,199.0,209.0
x,8,sumo,3.7422493271988344,0.2364229345135692,189.0,199.0,209.0
x,8,trim,2.2526240889480844,0.07450608294029028,189.0,199.0,209.0
x,9,ground_truth,3.8511215019675373,0.19136542162231296,209.0,219.0,229.0
x,9,sg,2.1759589474899967,0.07536179641307579,209.0,219.0,229.0
x,9,sumo,2.9178262594071422,0.13315598678737733,209.0,219.0,229.0
x,9,trim,2.3334319080274,0.07607364041926022,209.0,219.0,229.0
x,10,ground_truth,3.2223064614359385,0.16273517026685372,229.0,239.0,249.0
x,10,sg,2.5441258448804582,0.08317218243405666,229.0,239.0,249.0
x,10,sumo,5.146330681875202,0.3303232682013265,229.0,239.0,249.0
x,10,trim,2.49040893508983,0.08090281570954978,229.0,239.0,249.0
x,11,ground_truth,2.5440705706407782,0.10504794737974844,249.0,259.0,269.0
x,11,sg,2.5629690877829687,0.08329993470120294,249.0,259.0,269.0
x,11,sumo,3.315556652780158,0.13799597412216902,249.0,259.0,269.0
x,11,trim,2.4883695272633193,0.08278208071800086,249.0,259.0,269.0
x,12,ground_truth,3.0695971771612305,0.11840419874373045,269.0,279.0,289.0
x,12,sg,3.252353641097581,0.10070166232662701,269.0,279.0,289.0
x,12,sumo,3.1802295340790114,0.11016747243551675,269.0,279.0,289.0
x,12,trim,2.580810628219496,0.08948017700741079,269.0,279.0,289.0
x,13,ground_truth,3.235808198878527,0.13456194828979728,289.0,299.0,309.0
x,13,sg,3.4773926331255587,0.11664099650865146,289.0,299.0,309.0
x,13,sumo,4.932333619635359,0.16293013529293923,289.0,299.0,309.0
x,13,trim,3.076180661045194,0.1079897944879229,289.0,299.0,309.0
x,14,ground_truth,4.1194060851808025,0.1694767090984222,309.0,319.0,329.0
x,14,sg,3.9230169980811653,0.14147198201734712,309.0,319.0,329.0
x,14,sumo,4.622611148549205,0.16298195444434752,309.0,319.0,329.0
x,14,trim,3.5643910390835587,0.13077878777857577,309.0,319.0,329.0
x,15,ground_truth,5.274059560098003,0.2133309655368978,329.0,339.0,349.0
x,15,sg,3.5282091264302546,0.15551464327293318,329.0,339.0,349.0
x,15,sumo,6.010520443590663,0.23116934028924596,329.0,339.0,349.0
x,15,trim,4.533787570273818,0.17900867325400155,329.0,339.0,349.0
x,16,ground_truth,6.1603612377920856,0.23331783228845823,349.0,359.0,369.0
x,16,sg,6.828365101025768,0.3394851374060634,349.0,359.0,369.0
x,16,sumo,9.45123278743932,0.36175267692461655,349.0,359.0,369.0
x,16,trim,7.854953837848634,0.35903630891697186,349.0,359.0,369.0
x,17,ground_truth,5.795925759883672,0.1836769993383014,369.0,379.0,389.0
x,17,sg,4.713020671624636,0.2167381644849101,369.0,379.0,389.0
x,17,sumo,6.3405916239070415,0.24468745299282985,369.0,379.0,389.0
x,17,trim,5.323003265765144,0.22257831104105782,369.0,379.0,389.0
x,18,ground_truth,0.13830630506424643,0.007351359350312966,389.0,399.0,409.0
